Image tag,Version,Build date,Tools list
light,3.1.13,"2026-01-23T17:00:16Z",[download](</installed_tools/lists/light_3.1.13_arm64.csv>)
web,3.1.13,"2026-01-23T06:11:42Z",[download](</installed_tools/lists/web_3.1.13_arm64.csv>)
osint,3.1.12,"2026-01-03T10:20:17Z",[download](</installed_tools/lists/osint_3.1.12_arm64.csv>)
full,3.1.12,"2026-01-03T04:08:36Z",[download](</installed_tools/lists/full_3.1.12_arm64.csv>)
ad,3.1.12,"2026-01-03T00:47:44Z",[download](</installed_tools/lists/ad_3.1.12_arm64.csv>)
web,3.1.12,"2026-01-02T22:04:10Z",[download](</installed_tools/lists/web_3.1.12_arm64.csv>)
light,3.1.12,"2026-01-02T21:01:24Z",[download](</installed_tools/lists/light_3.1.12_arm64.csv>)
ad,3.1.11,"2025-12-03T01:51:30Z",[download](</installed_tools/lists/ad_3.1.11_arm64.csv>)
web,3.1.11,"2025-12-03T00:20:38Z",[download](</installed_tools/lists/web_3.1.11_arm64.csv>)
osint,3.1.11,"2025-12-02T22:47:02Z",[download](</installed_tools/lists/osint_3.1.11_arm64.csv>)
full,3.1.11,"2025-12-02T19:49:59Z",[download](</installed_tools/lists/full_3.1.11_arm64.csv>)
light,3.1.11,"2025-12-02T13:38:41Z",[download](</installed_tools/lists/light_3.1.11_arm64.csv>)
osint,3.1.10,"2025-10-28T22:40:37Z",[download](</installed_tools/lists/osint_3.1.10_arm64.csv>)
full,3.1.10,"2025-10-28T18:21:14Z",[download](</installed_tools/lists/full_3.1.10_arm64.csv>)
ad,3.1.10,"2025-10-28T15:14:39Z",[download](</installed_tools/lists/ad_3.1.10_arm64.csv>)
web,3.1.10,"2025-10-28T10:44:24Z",[download](</installed_tools/lists/web_3.1.10_arm64.csv>)
light,3.1.10,"2025-10-27T21:09:46Z",[download](</installed_tools/lists/light_3.1.10_arm64.csv>)
osint,3.1.9,"2025-09-20T08:33:09Z",[download](</installed_tools/lists/osint_3.1.9_arm64.csv>)
full,3.1.9,"2025-09-20T05:38:55Z",[download](</installed_tools/lists/full_3.1.9_arm64.csv>)
ad,3.1.9,"2025-09-20T02:56:02Z",[download](</installed_tools/lists/ad_3.1.9_arm64.csv>)
web,3.1.9,"2025-09-20T00:54:29Z",[download](</installed_tools/lists/web_3.1.9_arm64.csv>)
light,3.1.9,"2025-09-19T23:32:06Z",[download](</installed_tools/lists/light_3.1.9_arm64.csv>)
web,3.1.8,"2025-07-21T11:09:05Z",[download](</installed_tools/lists/web_3.1.8_arm64.csv>)
light,3.1.8,"2025-07-21T11:08:49Z",[download](</installed_tools/lists/light_3.1.8_arm64.csv>)
ad,3.1.8,"2025-07-21T11:08:32Z",[download](</installed_tools/lists/ad_3.1.8_arm64.csv>)
osint,3.1.8,"2025-07-21T11:07:59Z",[download](</installed_tools/lists/osint_3.1.8_arm64.csv>)
full,3.1.8,"2025-07-21T11:07:42Z",[download](</installed_tools/lists/full_3.1.8_arm64.csv>)
