Tool,Link,Description
asdf,https://github.com/asdf-vm/asdf,Extendable version manager with support for ruby python go etc
fzf,https://github.com/junegunn/fzf,🌸 A command-line fuzzy finder
pyftpdlib,https://github.com/giampaolo/pyftpdlib/,Extremely fast and scalable Python FTP server library
neovim,https://neovim.io/,hyperextensible Vim-based text editor
mdcat,https://github.com/swsnr/mdcat,Fancy cat for Markdown
gf,https://github.com/tomnomnom/gf,A wrapper around grep to avoid typing common patterns
firefox,https://www.mozilla.org,A web browser
rlwrap,https://github.com/hanslub42/rlwrap,rlwrap is a small utility that wraps input and output streams of executables / making it possible to edit and re-run input history
imagemagick,https://github.com/ImageMagick/ImageMagick,ImageMagick is a free and open-source image manipulation tool used to create / edit / compose / or convert bitmap images.
rsync,https://packages.debian.org/sid/rsync,File synchronization tool for efficiently copying and updating data between local or remote locations
goshs,https://github.com/patrickhener/goshs,Goshs is a replacement for Python's SimpleHTTPServer. It allows uploading and downloading via HTTP/S with either self-signed certificate or user provided certificate and you can use HTTP basic auth.
searchsploit,https://gitlab.com/exploit-database/exploitdb,A command line search tool for Exploit-DB
shellerator,https://github.com/ShutdownRepo/Shellerator,a simple command-line tool for generating shellcode
uberfile,https://github.com/ShutdownRepo/Uberfile,Uberfile is a simple command-line tool aimed to help pentesters quickly generate file downloader one-liners in multiple contexts (wget / curl / powershell / certutil...). This project code is based on my other similar project for one-liner reverseshell generation Shellerator.
arsenal,https://github.com/Orange-Cyberdefense/arsenal,Powerful weapons for penetration testing.
trilium,https://github.com/zadam/trilium,Personal knowledge management system.
ngrok,https://github.com/inconshreveable/ngrok,Expose a local server behind a NAT or firewall to the internet
whatportis,https://github.com/ncrocfer/whatportis,Command-line tool to lookup port information
objectwalker,https://github.com/p0dalirius/objectwalker,A python module to explore the object tree to extract paths to interesting objects in memory.
tig,https://github.com/jonas/tig,Tig is an ncurses-based text-mode interface for git.
yt-dlp,https://github.com/yt-dlp/yt-dlp,A youtube-dl fork with additional features and fixes
CyberChef,https://github.com/gchq/CyberChef/,The Cyber Swiss Army Knife
creds,https://github.com/ihebski/DefaultCreds-cheat-sheet,One place for all the default credentials to assist pentesters during an engagement. This document has several products default login/password gathered from multiple sources.
uploader,https://github.com/Frozenka/uploader,Tool for quickly downloading files to a remote machine based on the target operating system
wesng,https://github.com/bitsadmin/wesng,WES-NG is a tool based on the output of Windows's systeminfo utility which provides the list of vulnerabilities the OS is vulnerable to including any exploits for these vulnerabilities.
powershell,https://github.com/PowerShell/PowerShell,a command-line shell and scripting language designed for system administration and automation
empire,https://github.com/BC-SECURITY/Empire,post-exploitation and adversary emulation framework
pwncat,https://github.com/calebstewart/pwncat,A lightweight and versatile netcat alternative that includes various additional features.
metasploit,https://github.com/rapid7/metasploit-framework,A popular penetration testing framework that includes many exploits and payloads
routersploit,https://github.com/threat9/routersploit,Security audit tool for routers.
sliver,https://github.com/BishopFox/sliver,Open source / cross-platform and extensible C2 framework
Havoc,https://github.com/HavocFramework/Havoc,Command & Control Framework
Villain,https://github.com/t3l3machus/Villain,Command & Control Framework
crunch,https://github.com/crunchsec/crunch,A wordlist generator where you can specify a standard character set or a character set you specify.
cupp,https://github.com/Mebus/cupp,Cupp is a tool used to generate personalized password lists based on target information.
cewl,https://digi.ninja/projects/cewl.php,Generates custom wordlists by spidering a target's website and parsing the results
cewler,https://github.com/roys/cewler,CeWL alternative in Python
seclists,https://github.com/danielmiessler/SecLists,A collection of multiple types of lists used during security assessments
pass,https://github.com/hashcat/hashcat,TODO
username-anarchy,https://github.com/urbanadventurer/username-anarchy,Tools for generating usernames when penetration testing. Usernames are half the password brute force problem.
genusernames,https://gitlab.com/-/snippets/2480505/raw/main/bash,GenUsername is a Python tool for generating a list of usernames based on a name or email address.
