Tool,Link,Description
aclpwn,https://github.com/aas-n/aclpwn.py,Tool for testing the security of Active Directory access controls.
adidnsdump,https://github.com/dirkjanm/adidnsdump,Active Directory Integrated DNS dump utility
aircrack-ng,https://www.aircrack-ng.org,A suite of tools for wireless penetration testing
amass,https://github.com/OWASP/Amass,A DNS enumeration / attack surface mapping & external assets discovery tool
amber,https://github.com/EgeBalci/amber,Forensic tool to recover browser history / cookies and credentials
androguard,https://github.com/androguard/androguard,Reverse engineering and analysis of Android applications
android-tools-adb,https://developer.android.com/studio/command-line/adb,A collection of tools for debugging Android applications
anew,https://github.com/tomnomnom/anew,A simple tool for filtering and manipulating text data / such as log files and other outputs.
angr,https://github.com/angr/angr,a platform-agnostic binary analysis framework
apksigner,https://source.android.com/security/apksigning,arguably the most important step to optimize your APK file
apktool,https://github.com/iBotPeaches/Apktool,It is a tool for reverse engineering 3rd party / closed / binary Android apps.
arjun,https://github.com/s0md3v/Arjun,HTTP parameter discovery suite.
arsenal,https://github.com/Orange-Cyberdefense/arsenal,Powerful weapons for penetration testing.
ascii,https://github.com/moul/ascii,ASCII command-line tool to replace images with color-coded ASCII art.
assetfinder,https://github.com/tomnomnom/assetfinder,Tool to find subdomains and IP addresses associated with a domain.
autoconf,https://www.gnu.org/software/autoconf/autoconf.html,Tool for producing shell scripts to configure source code packages
autorecon,https://github.com/Tib3rius/AutoRecon,Multi-threaded network reconnaissance tool which performs automated enumeration of services.
avrdude,https://github.com/avrdudes/avrdude,AVRDUDE is a command-line program that allows you to download/upload/manipulate the ROM and EEPROM contents of AVR microcontrollers using the in-system programming technique (ISP).
awscli,https://aws.amazon.com/cli/,Command-line interface for Amazon Web Services.
azure-cli,https://github.com/Azure/azure-cli,A great cloud needs great tools; we're excited to introduce Azure CLI our next generation multi-platform command line experience for Azure.
bettercap,https://github.com/bettercap/bettercap,The Swiss Army knife for 802.11 / BLE / and Ethernet networks reconnaissance and MITM attacks.
binwalk,https://github.com/ReFirmLabs/binwalk,Binwalk is a tool for analyzing / reverse engineering / and extracting firmware images.
Blackbird,https://github.com/p1ngul1n0/blackbird,An OSINT tool to search fast for accounts by username across 581 sites.
bloodhound,https://github.com/BloodHoundAD/BloodHound,Active Directory security tool for reconnaissance and attacking AD environments.
bloodhound-import,https://github.com/fox-it/BloodHound.py,Import data into BloodHound for analyzing active directory trust relationships
