Tool,Link,Description
rlwrap,https://github.com/hanslub42/rlwrap,rlwrap is a small utility that wraps input and output streams of executables / making it possible to edit and re-run input history
imagemagick,https://github.com/ImageMagick/ImageMagick,ImageMagick is a free and open-source image manipulation tool used to create / edit / compose / or convert bitmap images.
ascii,https://github.com/moul/ascii,ASCII command-line tool to replace images with color-coded ASCII art.
rsync,https://packages.debian.org/sid/rsync,File synchronization tool for efficiently copying and updating data between local or remote locations
goshs,https://github.com/patrickhener/goshs,Goshs is a replacement for Python's SimpleHTTPServer. It allows uploading and downloading via HTTP/S with either self-signed certificate or user provided certificate and you can use HTTP basic auth.
searchsploit,https://gitlab.com/exploit-database/exploitdb,A command line search tool for Exploit-DB
shellerator,https://github.com/ShutdownRepo/Shellerator,a simple command-line tool for generating shellcode
uberfile,https://github.com/ShutdownRepo/Uberfile,Uberfile is a simple command-line tool aimed to help pentesters quickly generate file downloader one-liners in multiple contexts (wget / curl / powershell / certutil...). This project code is based on my other similar project for one-liner reverseshell generation Shellerator.
arsenal,https://github.com/Orange-Cyberdefense/arsenal,Powerful weapons for penetration testing.
trilium,https://github.com/zadam/trilium,Personal knowledge management system.
ngrok,https://github.com/inconshreveable/ngrok,Expose a local server behind a NAT or firewall to the internet
whatportis,https://github.com/ncrocfer/whatportis,Command-line tool to lookup port information
objectwalker,https://github.com/p0dalirius/objectwalker,A python module to explore the object tree to extract paths to interesting objects in memory.
pwncat,https://github.com/calebstewart/pwncat,A lightweight and versatile netcat alternative that includes various additional features.
metasploit,https://github.com/rapid7/metasploit-framework,A popular penetration testing framework that includes many exploits and payloads
routersploit,https://github.com/threat9/routersploit,Security audit tool for routers.
crunch,https://github.com/crunchsec/crunch,A wordlist generator where you can specify a standard character set or a character set you specify.
cupp,https://github.com/Mebus/cupp,TODO
cewl,https://digi.ninja/projects/cewl.php,Generates custom wordlists by spidering a target's website and parsing the results
seclists,https://github.com/danielmiessler/SecLists,A collection of multiple types of lists used during security assessments
pass,https://github.com/hashcat/hashcat,TODO
username-anarchy,https://github.com/urbanadventurer/username-anarchy,TODO
genusernames,https://gitlab.com/-/snippets/2480505/raw/main/bash,GenUsername is a Python tool for generating a list of usernames based on a name or email address.
rockyou,https://github.com/brannondorsey/naive-hashcat/releases/download/data/rockyou.txt,A password dictionary used by most hackers
hashcat,https://hashcat.net/hashcat,A tool for advanced password recovery
fcrackzip,https://github.com/hyc/fcrackzip,Password cracker for zip archives.
pdfcrack,https://github.com/robins/pdfcrack,A tool for cracking password-protected PDF files
bruteforce-luks,https://github.com/glv2/bruteforce-luks,A tool to help recover encrypted LUKS2 containers
john,https://github.com/openwall/john,John the Ripper password cracker.
name-that-hash,https://github.com/HashPals/Name-That-Hash,Online tool for identifying hashes.
haiti,https://github.com/noraj/haiti is a A CLI tool (and library) to identify hash types (hash type identifier).
exiftool,https://github.com/exiftool/exiftool,ExifTool is a Perl library and command-line tool for reading / writing and editing meta information in image / audio and video files.
exifprobe,https://github.com/hfiguiere/exifprobe,Exifprobe is a command-line tool to parse EXIF data from image files.
dnsenum,https://github.com/fwaeytens/dnsenum,dnsenum is a tool for enumerating DNS information about a domain.
tor,https://github.com/torproject/tor,Anonymity tool that can help protect your privacy and online identity by routing your traffic through a network of servers.
whois,https://packages.debian.org/sid/whois,See information about a specific domain name or IP address.
recon-ng,https://github.com/lanmaster53/recon-ng,External recon tool.
youtubedl,https://github.com/ytdl-org/youtube-dl,Download videos from YouTube and other sites.
sublist3r,https://github.com/aboul3la/Sublist3r,a Python tool designed to enumerate subdomains of websites.
assetfinder,https://github.com/tomnomnom/assetfinder,Tool to find subdomains and IP addresses associated with a domain.
subfinder,https://github.com/projectdiscovery/subfinder,Tool to find subdomains associated with a domain.
findomain,https://github.com/findomain/findomain,The fastest and cross-platform subdomain enumerator.
holehe,https://github.com/megadose/holehe,Exploit a vulnerable Samba service to gain root access.
simplyemail,https://github.com/SimplySecurity/SimplyEmail,a scriptable command line tool for sending emails
theharvester,https://github.com/laramies/theHarvester,Tool for gathering e-mail accounts / subdomain names / virtual host / open ports / banners / and employee names from different public sources
h8mail,https://github.com/khast3x/h8mail,Email OSINT and breach hunting.
infoga,https://github.com/m4ll0k/Infoga,Information gathering tool for hacking.
buster,https://github.com/sham00n/Buster,Advanced OSINT tool
pwnedornot,https://github.com/thewhiteh4t/pwnedOrNot,Check if a password has been leaked in a data breach.
phoneinfoga,https://github.com/sundowndev/PhoneInfoga,Information gathering & OSINT framework for phone numbers.
maigret,https://github.com/soxoj/maigret,Collects information about a target email (or domain) from Google and Bing search results
linkedin2username,https://github.com/initstring/linkedin2username,Generate a list of LinkedIn usernames from a company name.
toutatis,https://github.com/megadose/Toutatis,Toutatis is a tool that allows you to extract information from instagrams accounts such as e-mails / phone numbers and more.
waybackurls,https://github.com/tomnomnom/waybackurls,Fetch all the URLs that the Wayback Machine knows about for a domain.
carbon14,https://github.com/Lazza/carbon14,OSINT tool for estimating when a web page was written.
photon,https://github.com/s0md3v/Photon,a fast web crawler which extracts URLs / files / intel & endpoints from a target.
ipinfo,https://github.com/ipinfo/cli,Get information about an IP address or hostname.
constellation,https://github.com/constellation-app/Constellation,Find and exploit vulnerabilities in mobile applications.
maltego,https://www.paterva.com/web7/downloads.php,A tool used for open-source intelligence and forensics
spiderfoot,https://github.com/smicallef/spiderfoot,A reconnaissance tool that automatically queries over 100 public data sources
finalrecon,https://github.com/thewhiteh4t/FinalRecon,A web reconnaissance tool that gathers information about web pages
osrframework,https://github.com/i3visio/osrframework,Include references to a bunch of different applications related to username checking / DNS lookups / information leaks research / deep web search / regular expressions extraction and many others.
pwndb,https://github.com/davidtavarez/pwndb,A command-line tool for searching the pwndb database of compromised credentials.
githubemail,https://github.com/paulirish/github-email,a command-line tool to retrieve a user's email from Github.
recondog,https://github.com/s0md3v/ReconDog,a reconnaissance tool for performing information gathering on a target.
gron,https://github.com/tomnomnom/gron,Make JSON greppable!
ignorant,https://github.com/megadose/ignorant,holehe but for phone numbers.
trevorspray,https://github.com/blacklanternsecurity/TREVORspray,TREVORspray is a modular password sprayer with threading SSH proxying loot modules / and more
dirb,https://github.com/v0re/dirb,Web Content Scanner
sqlmap,https://github.com/sqlmapproject/sqlmap,Sqlmap is an open-source penetration testing tool that automates the process of detecting and exploiting SQL injection flaws
sslscan,https://github.com/rbsec/sslscan,a tool for testing SSL/TLS encryption on servers
