Image tag,Version,Build date,Tools list
full,3.1.5,2024-10-18T11:10:19Z,:download:`full_3.1.5_amd64.csv       </assets/installed_tools/lists/full_3.1.5_amd64.csv>`
ad,3.1.5,2024-10-18T10:59:04Z,:download:`ad_3.1.5_amd64.csv       </assets/installed_tools/lists/ad_3.1.5_amd64.csv>`
web,3.1.5,2024-10-18T10:42:19Z,:download:`web_3.1.5_amd64.csv       </assets/installed_tools/lists/web_3.1.5_amd64.csv>`
light,3.1.5,2024-10-18T10:30:43Z,:download:`light_3.1.5_amd64.csv       </assets/installed_tools/lists/light_3.1.5_amd64.csv>`
osint,3.1.5,2024-10-11T05:36:23Z,:download:`osint_3.1.5_amd64.csv       </assets/installed_tools/lists/osint_3.1.5_amd64.csv>`
ad,3.1.4,2024-05-05T22:35:39Z,:download:`ad_3.1.4_amd64.csv       </assets/installed_tools/lists/ad_3.1.4_amd64.csv>`
web,3.1.4,2024-05-05T22:26:58Z,:download:`web_3.1.4_amd64.csv       </assets/installed_tools/lists/web_3.1.4_amd64.csv>`
full,3.1.4,2024-05-05T22:17:31Z,:download:`full_3.1.4_amd64.csv       </assets/installed_tools/lists/full_3.1.4_amd64.csv>`
light,3.1.4,2024-05-04T21:15:16Z,:download:`light_3.1.4_amd64.csv       </assets/installed_tools/lists/light_3.1.4_amd64.csv>`
osint,3.1.4,2024-05-04T20:58:48Z,:download:`osint_3.1.4_amd64.csv       </assets/installed_tools/lists/osint_3.1.4_amd64.csv>`
full,3.1.3,2024-04-14T13:29:00Z,:download:`full_3.1.3_amd64.csv       </assets/installed_tools/lists/full_3.1.3_amd64.csv>`
ad,3.1.3,2024-04-14T10:34:36Z,:download:`ad_3.1.3_amd64.csv       </assets/installed_tools/lists/ad_3.1.3_amd64.csv>`
web,3.1.3,2024-04-14T10:43:47Z,:download:`web_3.1.3_amd64.csv       </assets/installed_tools/lists/web_3.1.3_amd64.csv>`
osint,3.1.3,2024-04-14T10:46:46Z,:download:`osint_3.1.3_amd64.csv       </assets/installed_tools/lists/osint_3.1.3_amd64.csv>`
light,3.1.3,2024-04-14T08:47:32Z,:download:`light_3.1.3_amd64.csv       </assets/installed_tools/lists/light_3.1.3_amd64.csv>`
full,3.1.2,2023-12-22T12:04:26Z,:download:`full_3.1.2_amd64.csv       </assets/installed_tools/lists/full_3.1.2_amd64.csv>`
ad,3.1.2,2023-12-22T11:41:22Z,:download:`ad_3.1.2_amd64.csv       </assets/installed_tools/lists/ad_3.1.2_amd64.csv>`
web,3.1.2,2023-12-22T11:46:29Z,:download:`web_3.1.2_amd64.csv       </assets/installed_tools/lists/web_3.1.2_amd64.csv>`
light,3.1.2,2023-12-22T00:08:53Z,:download:`light_3.1.2_amd64.csv       </assets/installed_tools/lists/light_3.1.2_amd64.csv>`
osint,3.1.2,2023-12-22T00:02:50Z,:download:`osint_3.1.2_amd64.csv       </assets/installed_tools/lists/osint_3.1.2_amd64.csv>`
full,3.1.1,2023-08-18T01:36:37Z,:download:`full_3.1.1_amd64.csv     </assets/installed_tools/lists/full_3.1.1_amd64.csv>`
ad,3.1.1,2023-08-18T02:59:03Z,:download:`ad_3.1.1_amd64.csv     </assets/installed_tools/lists/ad_3.1.1_amd64.csv>`
web,3.1.1,2023-08-18T01:35:14Z,:download:`web_3.1.1_amd64.csv     </assets/installed_tools/lists/web_3.1.1_amd64.csv>`
osint,3.1.1,2023-08-18T01:34:47Z,:download:`osint_3.1.1_amd64.csv     </assets/installed_tools/lists/osint_3.1.1_amd64.csv>`
light,3.1.1,2023-08-18T01:35:00Z,:download:`light_3.1.1_amd64.csv     </assets/installed_tools/lists/light_3.1.1_amd64.csv>`
full,3.1.0,2023-08-09T22:27:20Z,:download:`full_3.1.0_amd64.csv     </assets/installed_tools/lists/full_3.1.0_amd64.csv>`
ad,3.1.0,2023-08-10T00:33:47Z,:download:`ad_3.1.0_amd64.csv     </assets/installed_tools/lists/ad_3.1.0_amd64.csv>`
web,3.1.0,2023-08-09T11:12:12Z,:download:`web_3.1.0_amd64.csv     </assets/installed_tools/lists/web_3.1.0_amd64.csv>`
osint,3.1.0,2023-08-09T10:50:11Z,:download:`osint_3.1.0_amd64.csv     </assets/installed_tools/lists/osint_3.1.0_amd64.csv>`
light,3.1.0,2023-08-09T02:53:53Z,:download:`light_3.1.0_amd64.csv     </assets/installed_tools/lists/light_3.1.0_amd64.csv>`
